epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8892,3.36181,4.47619,2.25767,0.55632,0.63016,0.62943,0.36464,2.99474,2.86583,2.04673,0.000661333,0.000661333,0.000661333
2,78.0967,3.33707,2.60746,2.2798,0.64878,0.69068,0.70204,0.37452,2.88076,2.77034,2.1686,0.00130171,0.00130171,0.00130171
3,98.8818,3.1441,2.38047,2.22352,0.72133,0.73391,0.80055,0.4496,2.8533,2.14335,2.15434,0.00191568,0.00191568,0.00191568
4,119.62,3.13848,2.10764,2.25383,0.76755,0.805,0.85535,0.49071,2.81178,2.02939,2.20009,0.0018812,0.0018812,0.0018812
5,140.365,3.25651,2.01242,2.26348,0.805,0.78098,0.86696,0.46563,2.97184,1.83164,2.25764,0.0018416,0.0018416,0.0018416
6,160.809,3.23971,1.99292,2.30203,0.80344,0.82805,0.87197,0.50252,2.85751,1.75805,2.20241,0.001802,0.001802,0.001802
7,181.606,3.10416,1.88537,2.2471,0.81641,0.83381,0.89594,0.51082,2.87009,1.66706,2.22654,0.0017624,0.0017624,0.0017624
8,201.92,3.08442,1.75891,2.23746,0.85439,0.85113,0.92163,0.5448,2.82456,1.45148,2.2277,0.0017228,0.0017228,0.0017228
9,222.41,3.06229,1.66275,2.23455,0.85587,0.86167,0.92693,0.5236,2.87804,1.39559,2.27149,0.0016832,0.0016832,0.0016832
10,243.065,2.98761,1.58689,2.23159,0.89923,0.87128,0.94821,0.55312,2.79445,1.28773,2.24606,0.0016436,0.0016436,0.0016436
11,263.946,2.96477,1.53805,2.21279,0.88491,0.87608,0.94279,0.53061,2.87948,1.27595,2.30921,0.001604,0.001604,0.001604
12,285.171,3.10321,1.56776,2.25188,0.88975,0.88665,0.94769,0.53969,2.93173,1.22159,2.33506,0.0015644,0.0015644,0.0015644
13,306.49,3.08541,1.59278,2.2657,0.90555,0.89049,0.95342,0.57097,2.80833,1.23593,2.23184,0.0015248,0.0015248,0.0015248
14,328.288,2.96731,1.50088,2.23559,0.93131,0.88857,0.9627,0.57459,2.76561,1.12999,2.24779,0.0014852,0.0014852,0.0014852
15,349.54,2.97011,1.47221,2.22349,0.92665,0.89625,0.96262,0.58757,2.75345,1.15608,2.24291,0.0014456,0.0014456,0.0014456
16,371.082,2.96153,1.41667,2.20912,0.92379,0.91984,0.96979,0.58794,2.77024,1.09207,2.25876,0.001406,0.001406,0.001406
17,392.708,3.01945,1.3878,2.23978,0.91856,0.92091,0.96969,0.57845,2.75331,1.1129,2.24883,0.0013664,0.0013664,0.0013664
18,414.221,2.97296,1.37268,2.20896,0.94321,0.91931,0.97368,0.58725,2.80733,1.06084,2.26575,0.0013268,0.0013268,0.0013268
19,435.758,2.92677,1.34782,2.19813,0.9429,0.92007,0.97303,0.59614,2.742,1.05754,2.23282,0.0012872,0.0012872,0.0012872
20,457.156,2.89706,1.31482,2.19413,0.94368,0.92795,0.97432,0.59195,2.78916,1.05781,2.25845,0.0012476,0.0012476,0.0012476
21,479.119,2.94432,1.31026,2.20404,0.95027,0.93606,0.97618,0.59551,2.77022,1.04333,2.24155,0.001208,0.001208,0.001208
22,500.628,2.93507,1.30188,2.22516,0.95375,0.93111,0.97495,0.5894,2.77341,1.01493,2.25102,0.0011684,0.0011684,0.0011684
23,522.111,2.90529,1.29651,2.22145,0.96149,0.93948,0.98187,0.59637,2.85047,1.00202,2.26116,0.0011288,0.0011288,0.0011288
24,543.59,2.96875,1.30466,2.21375,0.95244,0.9366,0.97822,0.59213,2.81343,1.01356,2.26383,0.0010892,0.0010892,0.0010892
